$A,2022-09-07 11:49,E8DB84DF97A9,3.58
$B,ESP_node_OTA_v6_4_12_13.ino  15:34:49  Jun 11 2022
YYYY-MM-DD hh:mm,Temp,Humid
$C,ESP_node_OTA_v2.ino  19:43:10  Apr 26 2022
2022-07-03 06:51,21,87
2022-07-03 06:56,21,86
2022-07-03 07:01,21,86
2022-07-03 07:06,21,87
2022-07-03 07:11,21,87
2022-07-03 07:16,21,87
2022-07-03 07:21,21,86
2022-07-03 07:26,21,87
2022-07-03 07:31,21,87
2022-07-03 07:36,21,87
2022-07-03 07:41,21,86
2022-07-03 07:46,21,87
2022-07-03 07:51,21,86
2022-07-03 07:56,21,86
2022-07-03 08:01,21,86
2022-07-03 08:06,21,86
2022-07-03 08:11,21,86
2022-07-03 08:16,21,86
2022-07-03 08:21,21,86
2022-07-03 08:26,21,86
2022-07-03 08:31,21,86
2022-07-03 08:36,21,86
2022-07-03 08:41,21,86
2022-07-03 08:46,21,86
2022-07-03 08:51,21,86
2022-07-03 08:56,21,86
2022-07-03 09:01,21,87
2022-07-03 09:06,21,85
2022-07-03 09:11,21,85
2022-07-03 09:16,21,85
2022-07-03 09:21,21,85
2022-07-03 09:26,21,85
2022-07-03 09:31,21,84
2022-07-03 09:36,21,84
2022-07-03 09:41,21,84
2022-07-03 09:46,21,83
2022-07-03 09:51,21,83
2022-07-03 09:56,21,83
2022-07-03 10:01,21,83
2022-07-03 10:06,21,82
2022-07-03 10:11,21,83
2022-07-03 10:16,21,82
2022-07-03 10:21,21,82
2022-07-03 10:26,21,82
2022-07-03 10:31,21,83
2022-07-03 10:36,21,84
2022-07-03 10:41,21,84
2022-07-03 10:46,21,84
2022-07-03 10:51,21,83
2022-07-03 10:56,21,83
2022-07-03 11:01,21,83
2022-07-03 11:06,21,83
2022-07-03 11:11,21,83
2022-07-03 11:16,21,84
2022-07-03 11:21,21,83
2022-07-03 11:26,21,82
2022-07-03 11:31,21,82
2022-07-03 11:36,21,82
2022-07-03 11:41,21,82
2022-07-03 11:46,21,82
2022-07-03 11:51,21,82
2022-07-03 11:56,21,82
2022-07-03 12:01,21,82
2022-07-03 12:06,21,81
2022-07-03 12:11,21,81
2022-07-03 12:16,21,81
2022-07-03 12:21,21,82
2022-07-03 12:26,21,82
2022-07-03 12:31,21,82
2022-07-03 12:36,21,82
2022-07-03 12:41,21,82
2022-07-03 12:46,21,82
2022-07-03 12:51,21,82
2022-07-03 12:56,21,82
2022-07-03 13:01,21,82
2022-07-03 13:06,21,82
2022-07-03 13:11,21,82
2022-07-03 13:16,21,82
2022-07-03 13:21,21,82
2022-07-03 13:26,21,81
2022-07-03 13:31,21,82
2022-07-03 13:36,21,82
2022-07-03 13:41,21,83
2022-07-03 13:46,21,81
2022-07-03 13:51,21,81
2022-07-03 13:56,21,81
2022-07-03 14:01,21,81
2022-07-03 14:06,21,81
2022-07-03 14:11,21,81
2022-07-03 14:16,21,81
2022-07-03 14:21,21,81
2022-07-03 14:26,21,81
2022-07-03 14:31,21,81
2022-07-03 14:36,21,81
2022-07-03 14:41,21,81
2022-07-03 14:46,21,81
2022-07-03 14:51,21,80
2022-07-03 14:56,21,80
2022-07-03 15:01,21,79
2022-07-03 15:06,21,79
2022-07-03 15:11,21,79
2022-07-03 15:16,21,79
2022-07-03 15:21,21,79
2022-07-03 15:26,21,79
2022-07-03 15:31,21,79
2022-07-03 15:36,21,79
2022-07-03 15:41,21,79
2022-07-03 15:46,21,79
2022-07-03 15:51,21,80
2022-07-03 15:56,21,80
2022-07-03 16:01,21,80
2022-07-03 16:06,21,81
2022-07-03 16:11,21,80
2022-07-03 16:16,21,79
2022-07-03 16:21,21,79
2022-07-03 16:26,21,79
2022-07-03 16:31,21,79
2022-07-03 16:36,21,79
2022-07-03 16:41,21,79
2022-07-03 16:46,21,79
2022-07-03 16:51,21,79
2022-07-03 16:56,21,79
2022-07-03 17:01,21,79
2022-07-03 17:06,21,79
2022-07-03 17:11,21,79
2022-07-03 17:16,21,79
2022-07-03 17:21,21,79
2022-07-03 17:26,21,78
2022-07-03 17:31,21,79
2022-07-03 17:36,21,79
2022-07-03 17:41,21,79
2022-07-03 17:46,21,79
2022-07-03 17:51,21,79
2022-07-03 17:56,16,60
2022-07-03 18:01,13,58
2022-07-03 18:06,11,57
2022-07-03 18:11,10,57
2022-07-03 18:16,9,58
2022-07-03 18:21,8,58
2022-07-03 18:26,8,76
2022-07-03 18:31,8,68
2022-07-03 18:36,8,100
2022-07-03 18:41,8,75
2022-07-03 18:46,7,66
2022-07-03 18:51,7,63
2022-07-03 18:56,7,100
2022-07-03 19:01,7,77
2022-07-03 19:06,7,68
2022-07-03 19:11,7,90
2022-07-03 19:16,7,95
2022-07-03 19:21,8,100
2022-07-03 19:26,7,79
2022-07-03 19:31,7,71
2022-07-03 19:36,7,68
2022-07-03 19:41,7,67
2022-07-03 19:46,10,100
2022-07-03 19:51,15,100
2022-07-03 19:56,17,93
2022-07-03 20:01,19,89
2022-07-03 20:06,19,86
